snapped_at,price,market_cap,total_volume
2023-11-08 00:00:00 UTC,1887.315321843377,226838264619.02618,16015418080.253283
2023-11-09 00:00:00 UTC,1891.491779137154,227339109898.11093,11363875212.379084
2023-11-10 00:00:00 UTC,2128.6095039438633,255606798758.6788,43401498655.145584
2023-11-11 00:00:00 UTC,2078.853466304058,250188481452.51233,25647329729.074715
2023-11-12 00:00:00 UTC,2052.994586063755,246828307403.76895,14070951950.662403
2023-11-13 00:00:00 UTC,2046.0870799735535,246086372437.43423,9202824690.861519
2023-11-14 00:00:00 UTC,2060.5328561356905,248110456054.52948,21731324925.731487
2023-11-15 00:00:00 UTC,1980.5154306252414,238322049371.81366,21308023194.014256
2023-11-16 00:00:00 UTC,2061.635532253063,247252247163.20584,22504704552.247604
2023-11-17 00:00:00 UTC,1962.243839589886,235765269163.39795,23688548271.260708
2023-11-18 00:00:00 UTC,1956.5174321166123,235552986140.5357,21074972017.71192
2023-11-19 00:00:00 UTC,1962.6305661102026,236086751710.85898,13274234821.204763
2023-11-20 00:00:00 UTC,2011.1267210635335,242034207822.1622,11281190664.855837
2023-11-21 00:00:00 UTC,2022.3881475372507,243006229904.03055,16799253254.276203
2023-11-22 00:00:00 UTC,1940.4448103653,233744228838.17505,20758981846.62923
2023-11-23 00:00:00 UTC,2065.9414413104028,248555178589.68716,25168416335.347775
2023-11-24 00:00:00 UTC,2062.269551857858,247876188093.7795,13614279337.488348
2023-11-25 00:00:00 UTC,2080.8517575183496,250091072371.2108,20665503027.73338
2023-11-26 00:00:00 UTC,2085.426621540017,250789193104.93494,6530490765.972065
2023-11-27 00:00:00 UTC,2064.0742181655314,248377596959.20486,12075707002.739227
2023-11-28 00:00:00 UTC,2030.000505811856,243720423942.89383,19226881871.14826
2023-11-29 00:00:00 UTC,2048.535256652576,246262800348.0733,16424574534.70982
2023-11-30 00:00:00 UTC,2025.9373276989,244001473817.2662,13099062740.857195
2023-12-01 00:00:00 UTC,2051.7567179446996,246848217845.14642,11625915810.902319
2023-12-02 00:00:00 UTC,2085.7123613209396,250640652575.93158,19913080652.27421
2023-12-03 00:00:00 UTC,2165.297880951399,260240551667.01883,14460351398.390474
2023-12-04 00:00:00 UTC,2190.7040403697074,263980793708.9081,13166580462.9591
2023-12-05 00:00:00 UTC,2242.961542677477,269584983992.8464,30345337042.00411
2023-12-06 00:00:00 UTC,2294.0951698534136,275703016277.70374,28729334531.594917
2023-12-07 00:00:00 UTC,2232.0254402104606,268795534917.09488,21223942410.36482
2023-12-08 00:00:00 UTC,2354.386930946088,283213143190.7205,25387351572.192837
2023-12-09 00:00:00 UTC,2359.8890564833255,283054038646.35785,20568283522.94774
2023-12-10 00:00:00 UTC,2341.07248115182,281067496144.66614,15387242081.073635
2023-12-11 00:00:00 UTC,2352.0987284889175,282723216106.4694,10817893038.042538
2023-12-12 00:00:00 UTC,2222.3468384000316,267009290987.55844,18600214563.342213
2023-12-13 00:00:00 UTC,2200.3337161808727,264706953102.87967,11775411206.200737
2023-12-14 00:00:00 UTC,2260.8823525751127,271717710927.89438,17312498671.815353
2023-12-15 00:00:00 UTC,2317.4650743736975,278468385078.2856,18515638424.0283
2023-12-16 00:00:00 UTC,2219.9516178764084,267126085639.7962,15188397489.44516
2023-12-17 00:00:00 UTC,2227.936447135476,267401843617.0704,8454757543.524233
2023-12-18 00:00:00 UTC,2199.5401211883855,264433892856.22266,8867828029.60357
2023-12-19 00:00:00 UTC,2216.929013563485,266320508900.2563,14071140889.309969
2023-12-20 00:00:00 UTC,2176.8394126574362,261622480885.4028,15258004716.309359
2023-12-21 00:00:00 UTC,2198.421404460542,264119934496.6169,19155737312.564598
2023-12-22 00:00:00 UTC,2236.186961753279,268661930922.99802,19466743544.995804
2023-12-23 00:00:00 UTC,2327.048962711535,279870641392.9921,23783915985.976246
2023-12-24 00:00:00 UTC,2310.955662998272,278079278701.17706,9758407679.07541
2023-12-25 00:00:00 UTC,2264.911143671657,272522653481.91702,12635088285.645493
2023-12-26 00:00:00 UTC,2273.6326121146535,273465660867.21106,11373112598.880953
2023-12-27 00:00:00 UTC,2230.8761843957795,268089393468.35114,15654849177.200323
2023-12-28 00:00:00 UTC,2376.771249284193,285529301721.8697,25167308054.85203
2023-12-29 00:00:00 UTC,2345.2607087446872,282759891474.44507,21940267876.989635
2023-12-30 00:00:00 UTC,2299.5262072752594,275996795853.5979,18135119123.505463
2023-12-31 00:00:00 UTC,2294.3440063451,275712397143.1602,13896242967.902512
2024-01-01 00:00:00 UTC,2279.9410085689606,274292310008.21802,6715146404.608721
2024-01-02 00:00:00 UTC,2350.0262860085095,282101525979.4972,9173151405.888998
2024-01-03 00:00:00 UTC,2360.7821195890947,282763246110.9591,20590257636.09842
2024-01-04 00:00:00 UTC,2211.1708278638766,265547288684.8233,34451776444.05685
2024-01-05 00:00:00 UTC,2270.977439333732,273109328387.3609,18341104523.019344
2024-01-06 00:00:00 UTC,2267.087035484658,271936377917.22253,18739484389.94619
2024-01-07 00:00:00 UTC,2241.5108270042424,269489631471.8874,8619189687.821476
2024-01-08 00:00:00 UTC,2220.151561688879,266240104433.8105,10135753412.671106
2024-01-09 00:00:00 UTC,2331.6603294356382,280315688401.5355,26223624729.10309
2024-01-10 00:00:00 UTC,2341.160624264102,281144258787.4874,21533561122.854744
2024-01-11 00:00:00 UTC,2588.769163919145,310821894359.1542,44008144956.97653
